SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Dogecoin,DOGE,01-01-2020,0.002052103,0.002021168,0.002028037,0.002032614,51180941.2,249432496.9
2,Dogecoin,DOGE,01-02-2020,0.002110007,0.001983124,0.002034263,0.002008643,65071106.43,246518478.9
3,Dogecoin,DOGE,01-03-2020,0.002177209,0.001990922,0.002007977,0.002145376,62619987.78,263328861.9
4,Dogecoin,DOGE,01-04-2020,0.002489779,0.002049937,0.002144226,0.002241144,94227581.64,275114092.7
5,Dogecoin,DOGE,01-05-2020,0.002491296,0.002116777,0.002240008,0.002419075,52631739.97,296989930
6,Dogecoin,DOGE,01-06-2020,0.002563552,0.002378505,0.002418308,0.002462966,54562408.69,302412673.4
7,Dogecoin,DOGE,01-07-2020,0.002496801,0.00235361,0.002484822,0.002432763,52767343.05,298738083.4
8,Dogecoin,DOGE,01-08-2020,0.002465177,0.002265449,0.002433075,0.002292894,77251525.71,281594191.2
9,Dogecoin,DOGE,01-09-2020,0.002314182,0.002145303,0.002291321,0.002256095,70690570.95,277106182.7
10,Dogecoin,DOGE,01-10-2020,0.002360578,0.002199064,0.00225453,0.002355722,87683356.33,289375370.8
11,Dogecoin,DOGE,01-11-2020,0.002372904,0.002295645,0.002350604,0.002313559,94203408.76,284228140.9
12,Dogecoin,DOGE,01-12-2020,0.002412745,0.002312906,0.002312906,0.002380681,79426214.91,292507504
13,Dogecoin,DOGE,01-13-2020,0.002406591,0.002327062,0.00238106,0.002357752,83849845.96,289722805.4
14,Dogecoin,DOGE,01-14-2020,0.002514452,0.002340072,0.002357932,0.002470019,128635382.7,303552342.2
15,Dogecoin,DOGE,01-15-2020,0.002541363,0.002363101,0.002467566,0.002368673,128940321,291129905.1
16,Dogecoin,DOGE,01-16-2020,0.002423745,0.002293386,0.002372113,0.002344843,98124199.02,288233512.7
17,Dogecoin,DOGE,01-17-2020,0.002516305,0.00231049,0.002346193,0.002489898,117752841.3,306098384.4
18,Dogecoin,DOGE,01-18-2020,0.00253792,0.002452454,0.00249017,0.002507053,108133942.5,308242054.7
19,Dogecoin,DOGE,01-19-2020,0.002569967,0.002359251,0.002514212,0.002405036,108085146.9,295732370.6
20,Dogecoin,DOGE,01-20-2020,0.002423205,0.002358557,0.002405322,0.002374056,92022276.77,291955767
21,Dogecoin,DOGE,01-21-2020,0.002402673,0.002335021,0.002374483,0.00237643,84321564.88,292280593.4
22,Dogecoin,DOGE,01-22-2020,0.002398756,0.002320486,0.002376046,0.002323446,82852580.2,285795825.1
23,Dogecoin,DOGE,01-23-2020,0.002357853,0.002238143,0.002323335,0.002267636,91866620.08,278962447.8
24,Dogecoin,DOGE,01-24-2020,0.002293265,0.002210845,0.002268044,0.002275864,86865882.44,280006237.4
25,Dogecoin,DOGE,01-25-2020,0.002276228,0.002235246,0.002276085,0.002257336,82421398.54,277757847.4
26,Dogecoin,DOGE,01-26-2020,0.002306579,0.002239578,0.002257507,0.002304631,73458474.46,283609272.6
27,Dogecoin,DOGE,01-27-2020,0.002412843,0.002282611,0.002304434,0.002367672,89023414.02,291399495.4
28,Dogecoin,DOGE,01-28-2020,0.002449631,0.002362596,0.002365289,0.002449574,91528770.78,301513933
29,Dogecoin,DOGE,01-29-2020,0.002471278,0.002389703,0.002450594,0.002389703,80676218.55,294177531.7
30,Dogecoin,DOGE,01-30-2020,0.00244622,0.002370656,0.002391217,0.002440406,83967913.63,300452707.3
31,Dogecoin,DOGE,01-31-2020,0.002458362,0.002368659,0.002439877,0.002393568,76519295.3,294719511.4
32,Dogecoin,DOGE,02-01-2020,0.002430717,0.002382002,0.002391252,0.00242204,78730830.13,298258838.8
33,Dogecoin,DOGE,02-02-2020,0.002505936,0.002394598,0.002421095,0.002468476,91552515,304011347
34,Dogecoin,DOGE,02-03-2020,0.002517122,0.002427054,0.002465532,0.002439852,78856631.33,300519838.7
35,Dogecoin,DOGE,02-04-2020,0.002503301,0.002401536,0.002438452,0.002503301,89790001.93,308369226.1
